,League,Team,Country,Rating,Age,Years,AAV
Wilma Barrios,Brazil,Porto Alegre,Italy,59.615659695035696,6,1,5.0
Pauline Yaney,Ireland,Mullingar,Ireland,59.61048740697752,3,1,0.6000000000000001
Rosalind Devotie,Russia,Kazan,Russia,59.603882435430315,10,3,3.9000000000000004
Robert Lew,Italy,Catania,Italy,59.5837560398086,8,2,21.93333333333333
Karen Joyner,Spain,Bilbao,Indonesia,59.56131303200265,7,3,5.6
Mary Clark,Canada,Markham,Italy,59.55613338161736,6,1,4.199999999999999
Shannon Archila,South Korea,Anyang,India,59.5434066132156,5,2,3.0
Lori Layfield,Colombia,Armenia,Colombia,59.5270857695261,3,1,0.40000000000000013
Kenneth Damico,Ecuador,Cuenca,Australia,59.50050176115597,6,1,2.844444444444445
Rodney Jamison,Ukraine,Luhansk,India,59.50030477839128,3,1,0.6666666666666666
Sylvie Gunter,Australia,Gold Coast,Australia,59.49930393551948,4,3,3.2666666666666657
Lisa Brown,Italy,Parma,Mexico,59.492889822697805,7,3,4.35
Edward Hardiman,Austria,Leonding,Austria,59.487383589409006,3,1,1.0666666666666667
Joe Abram,Indonesia,Malang,Indonesia,59.478222187687685,5,1,1.8999999999999986
Katie Hamff,South Korea,Goyang,South Korea,59.47533775700435,5,1,2.8888888888888893
Thomas Dupont,Russia,Samara,India,59.46387737887809,6,1,4.166666666666666
Merrill Sills,Canada,Saskatoon,Canada,59.45137232205529,5,2,3.4000000000000004
Nancy Lopez,Israel,Haifa,Israel,59.44591849847949,7,2,4.5
Renee Dawkins,Germany,Mannheim,China,59.40953318311571,10,3,4.65
Alma Mccullen,Canada,Toronto,Saudi Arabia,59.37582864763538,9,1,48.0
Linda Lewis,United Kingdom,Glasgow,United Kingdom,59.37239140279821,9,1,25.650000000000002
Sharon Horton,Finland,Helsinki,Japan,59.35917622314014,7,3,6.75
Ronald Sweet,Norway,Sarpsborg,Japan,59.35785979476979,5,2,3.6
Randall Zamora,Netherlands,Rotterdam,Netherlands,59.29760991735418,6,1,5.555555555555555
Dorothy Beach,Pakistan,Lahore,Austria,59.29241286135749,8,2,21.2
Marion Bartley,Chile,Antofagasta,France,59.286654998388876,5,2,3.1999999999999997
Jonathan Piper,Greece,Zografou,Italy,59.28453703495556,3,1,0.40000000000000013
Beatrice Doucet,Japan,Hiroshima,Japan,59.27884511256281,7,3,4.699999999999999
Wayne Martin,Romania,Timisoara,Chile,59.2444249174308,5,2,4.8
Georgia Breaud,Poland,Wroclaw,Poland,59.227266100001955,5,2,3.4444444444444464
Russell Nolte,Argentina,Salta,Nigeria,59.22194919984623,6,1,7.933333333333334
Edward Monahan,Netherlands,Apeldoorn,Germany,59.1937337319344,7,2,3.9000000000000004
Melvin Hardy,Hong Kong,Sai Kung,Hong Kong,59.192136225733684,6,1,1.8666666666666663
Laura Travers,Kazakhstan,Taraz,China,59.17659949695094,3,1,1.5
Kenneth Millard,India,Jaipur,India,59.158173709007364,4,3,4.200000000000001
Phyllis Douglas,Switzerland,St. Gallen,Germany,59.143720745473786,5,2,3.5999999999999996
Michele Mclean,Switzerland,Lugano,China,59.12977925503845,6,1,3.733333333333334
Ashley Samela,Poland,Gdansk,Poland,59.11550256062813,6,1,6.900000000000002
Shirl Henson,India,Kanpur,Russia,59.11228586060465,4,3,4.305555555555555
Whitney James,Nigeria,Kano,United Kingdom,59.1059325936606,6,1,6.5
Renee Fairbanks,Brazil,Campo Grande,Brazil,59.10464752548904,6,1,2.851851851851852
Lori Mendoza,Chile,Concepcion,Canada,59.09841619718769,4,3,6.800000000000001
Kimberly Schultz,United Arab Emirates,Fujairah,United Arab Emirates,59.082465967488645,6,1,1.8888888888888888
Lloyd Perez,Italy,Taranto,Ireland,59.080256801271986,7,3,4.444444444444445
Charles Kelly,United Arab Emirates,Fujairah,France,59.07039654351715,5,2,2.333333333333333
Christopher Ingram,Germany,Leipzig,Spain,59.06969836901502,8,2,28.0
Marian Pimental,Italy,Bari,Italy,59.0694320238526,8,1,22.4
Marie Peak,Switzerland,Biel,Switzerland,59.06613157723665,5,2,3.5999999999999996
Nathan Lavender,Singapore,Woodlands,Singapore,59.065900912495394,7,3,4.8
Mary Cross,Italy,Catania,Italy,59.062965017542126,4,2,4.177777777777779
Norma Feasel,United Kingdom,Leeds,United Kingdom,59.05496858574718,8,2,15.38333333333334
Connie Kasahara,Italy,Naples,United Kingdom,59.053544838741615,9,1,35.5
Young Walker,Germany,Nuremberg,Germany,59.03321062684858,7,2,4.333333333333334
Kevin Smith,United States,Jacksonville,Israel,59.029449019717596,8,2,20.066666666666666
Vivian Evans,Portugal,Portimao,Portugal,59.02580775409775,3,1,0.7962962962962965
Murray Mccage,Finland,Tampere,China,59.02217340782138,4,3,6.044444444444444
Jamie Callender,Russia,Samara,Greece,59.0217176483412,5,2,2.5
Louise Leonard,Angola,Huambo,Angola,59.01010572542168,5,2,2.8000000000000007
Patricia Richardson,Pakistan,Faisalabad,France,59.007097906967424,7,3,6.458333333333334
Shelly Dent,Bangladesh,Chittagong,China,59.00703198538243,4,3,6.444444444444446
Lilian Bernard,Chile,Iquique,India,58.999535205161315,3,1,1.3333333333333333
Kristina Friend,France,Montpellier,France,58.989951010895076,8,2,14.7
Katherine Kiser,Italy,Palermo,China,58.954099015268014,8,2,14.849999999999998
Veronica Barboza,Czech Republic,Brno,Sweden,58.94927228069259,4,3,6.133333333333334
Michael Prechtl,France,Angers,South Korea,58.917355678236106,8,2,11.459259259259259
Michael Babb,Slovakia,Kosice,France,58.91534351072292,5,2,3.1111111111111107
Frances Fernandez,Malaysia,Kota Bharu,Canada,58.9116634088467,5,2,2.6666666666666665
Margaret Mayer,Argentina,Quilmes,Japan,58.9012078898813,5,2,3.2000000000000006
Robert Reynolds,Malaysia,Ipoh,United States,58.89441786941884,7,2,4.8
Lorena Armstrong,Turkey,Bursa,United States,58.86657612840548,7,3,5.600000000000001
Mary Roberts,Brazil,Sao Luis,Indonesia,58.856531571039824,6,1,2.533333333333333
Alfredo Sheffield,Germany,Stuttgart,Germany,58.8551244821918,8,2,14.7
Alfred Rouse,Netherlands,Tilburg,Nigeria,58.83929070321171,7,3,6.0
Janelle Guyette,Egypt,Giza,Austria,58.82464830391586,6,1,6.0
Tracy Stewart,Norway,Trondheim,Norway,58.81250142759075,6,2,4.799999999999999
Sandra Vieira,Netherlands,Zwolle,United Kingdom,58.76902416575064,5,2,2.333333333333333
Elaine Mccauley,Japan,Saitama,Belgium,58.765201924925584,4,3,4.622222222222222
Linda Laverdiere,South Africa,Bloemfontein,United States,58.75488969459954,3,1,0.5
Gregory Johnson,Saudi Arabia,Jeddah,United States,58.74723511489503,8,2,9.566666666666666
Lydia Villasenor,Vietnam,Haiphong,China,58.74514033540828,6,1,4.666666666666667
Nathaniel Conlon,Portugal,Braga,United Kingdom,58.72853455946568,6,1,5.0
Doris Rendon,Hungary,Zalaegerszeg,France,58.72336884911038,3,1,0.6666666666666666
Mary Uitz,Japan,Chiba,United States,58.70307569147787,8,2,6.755555555555555
Lauren Brown,Russia,Omsk,Russia,58.69611716709635,5,2,2.5
David Corathers,Vietnam,Haiphong,United States,58.68723487141649,4,3,5.333333333333333
Ramon Wick,Australia,Sunshine Coast,Australia,58.67381524989035,4,3,3.733333333333334
Cornell Shannon,Austria,Innsbruck,Austria,58.67242015934247,4,3,3.022222222222222
Jesusa Davis,United Kingdom,Cardiff,United Kingdom,58.671794682222114,6,1,3.3000000000000007
Eric Jordan,China,Chongqing,Portugal,58.64276764875009,8,2,19.6
Arturo Hernandez,Belgium,Ghent,Belgium,58.621766825472776,6,1,4.666666666666664
Rafael Larose,Poland,Bialystok,China,58.617916397783745,4,3,5.0
Mildred Rosa,Spain,Las Palmas,Spain,58.61669574172044,8,1,8.666666666666664
George Lamark,Czech Republic,Ostrava,Mexico,58.60949387298144,4,3,6.0
Geraldine Mcguffey,Germany,Bielefeld,Germany,58.60480232561688,4,3,3.3
Elisa Borton,Morocco,Kenitra,France,58.60106078928515,3,1,1.3333333333333333
Rodney Williams,Ethiopia,Bahir Dar,United States,58.588153789567606,3,1,0.6666666666666667
Henry Green,Switzerland,Neuchatel,France,58.58768222481182,6,1,2.2222222222222223
Robert Peckham,Singapore,Clementi,Singapore,58.5861306528126,3,1,0.711111111111111
Elmer Muniz,India,Bhopal,India,58.56540951520337,9,2,4.0
Katie Svoboda,Thailand,Udon Thani,Thailand,58.564870805715415,4,3,4.277777777777778
Linda Quintanar,Brazil,Sao Luis,Brazil,58.55421985405157,10,3,3.8000000000000007
Frances Whitlock,Italy,Verona,United States,58.55138865073341,4,3,3.8999999999999995
Alan Leach,New Zealand,Wellington,Vietnam,58.548842332042604,6,1,4.0
Michele Terhune,Turkey,Esenyurt,Mexico,58.54786548572704,5,2,3.75
Natasha Sharp,Vietnam,Bien Hoa,Australia,58.54485983176754,5,2,3.5999999999999996
Otis Hill,Italy,Messina,Italy,58.51090611826798,4,2,3.5
Stephanie Page,Italy,Reggio Calabria,Italy,58.48844263064431,7,3,3.1499999999999995
Teri Gardner,Sweden,Gothenburg,Sweden,58.48604726786073,8,2,17.400000000000002
Janet Martin,Israel,Modi'in,Israel,58.48367981039648,3,1,1.0
Cesar Gutknecht,China,Wuhan,China,58.483404073733766,8,2,15.11111111111111
Elizabeth Savage,Germany,Bonn,Germany,58.480600015824045,4,3,3.3
James Sharrar,Japan,Sagamihara,Japan,58.45680987241993,7,3,3.866666666666667
Lorri Brown,Italy,Florence,Italy,58.435075536467544,8,2,26.599999999999998
Amber Cabral,France,Toulouse,France,58.42799977145391,8,2,24.340740740740735
Zachary Mulligan,Singapore,Tampines,Singapore,58.40352856320526,4,2,4.666666666666667
Dawn Lucky,Belgium,Seraing,United Kingdom,58.400634013900984,5,2,2.3333333333333335
Wendy Barrett,Canada,Surrey,Brazil,58.399385466807814,4,3,4.5
Evelyn Carraway,United Kingdom,Edinburgh,Netherlands,58.388438297016485,8,2,10.966666666666669
Enrique Bowers,Hong Kong,Tuen Mun,Hong Kong,58.37680313191337,7,3,2.8000000000000003
Scott Stevens,Portugal,Setúbal,Brazil,58.369078251789034,5,2,2.777777777777778
Dennis Haley,Japan,Sendai,Japan,58.367205292331086,4,3,3.822222222222222
Audrey Borowski,United Arab Emirates,Al Ain,United Arab Emirates,58.365880802691734,6,1,6.044444444444444
Beryl Bishop,Algeria,Blida,Germany,58.365677595335896,3,1,1.3333333333333333
Henry Reynolds,Italy,Milan,Turkey,58.34617499936048,9,1,80.0
Howard Whipple,United Kingdom,Liverpool,Ethiopia,58.33054809881733,8,2,12.0
Stanley Reeves,Ireland,Galway,Ireland,58.309116192114,6,1,2.439814814814815
Dorothy Rochester,Germany,Bochum,Greece,58.30430925353414,4,3,3.6000000000000005
Thelma Kirk,United States,Jacksonville,India,58.29860368478328,8,2,10.033333333333335
Ruth Stanley,India,Jaipur,India,58.29216986930976,8,2,19.6
Kenneth Doucet,Algeria,Algiers,South Africa,58.285030909669494,8,3,5.4
Phyllis Gillam,Spain,Vitoria,Bangladesh,58.2337704031094,7,3,3.777777777777777
John Blackburn,Norway,Skien,Norway,58.18436787221515,4,3,4.622222222222223
Trenton White,South Africa,Pretoria,Malaysia,58.180757332171574,6,1,3.1499999999999995
Jason Howell,Sweden,Lund,Norway,58.17407231190733,6,1,4.333333333333333
Myrtle Garcia,United Kingdom,Newcastle,Norway,58.169508738898024,7,2,3.5333333333333323
Frederick Simpson,Sweden,Karlstad,Sweden,58.14462382926408,3,1,1.0
Howard Ware,Poland,Czestochowa,Japan,58.135613173151775,5,2,2.5666666666666673
Willie Hursh,South Korea,Changwon,China,58.132065179957614,4,3,4.333333333333334
Matthew Bush,Italy,Brescia,Italy,58.125292510894354,4,2,3.333333333333333
Willy Almon,Singapore,Yishun,India,58.111019005398504,6,1,3.333333333333333
Christopher Matheis,Belgium,Bruges,United Kingdom,58.11012829412347,7,2,4.622222222222223
Rebecca Barnwell,Mexico,Culiacan,Vietnam,58.10781120221692,7,3,4.344444444444443
Elizabeth Ta,Ukraine,Kharkiv,Malaysia,58.1001847866259,5,2,2.9333333333333336
Michael Knight,Romania,Botoșani,Romania,58.09796266135914,3,1,0.8888888888888888
Juan Gordon,Portugal,Funchal,United States,58.09047476743349,5,2,3.0
Thomas Phillips,Sweden,Linkoping,Sweden,58.08212648364768,6,1,2.133333333333333
Christopher Alfaro,France,Saint-Etienne,Germany,58.07060734224067,8,2,14.799999999999997
Gloria Garvey,Peru,Callao,Austria,58.06961208220242,7,3,5.0555555555555545
Eugene Cunningham,Italy,Padua,Italy,58.06440261256465,4,3,3.2
Georgette Costa,United Arab Emirates,Sharjah,Germany,58.05641499294984,4,3,4.5
Sheena Saballos,Chile,Santiago,Japan,58.0490277842094,9,1,31.5
Vernon Major,India,Lucknow,Canada,58.03778618761725,7,3,3.5555555555555554
Scott King,Romania,Cluj-Napoca,Ireland,58.0224392315409,4,3,4.266666666666667
Victoria Powell,Brazil,Natal,Brazil,58.01947458892664,7,3,3.5
John Muller,Denmark,Odense,Russia,58.00693513246911,7,2,4.622222222222223
Serena Stowell,Italy,Bologna,Italy,58.00454276670034,8,2,8.358333333333334
Florine Roberts,Greece,Thessaloniki,Italy,57.996600582535585,4,3,4.977777777777777
Christopher Calderon,United Arab Emirates,Bur Dubai,Italy,57.99418869587723,10,3,4.533333333333333
Carl Budde,South Africa,Bloemfontein,China,57.98321911209726,3,1,1.0
Rose Caputo,Poland,Poznan,Japan,57.973267401545044,4,3,4.5
Donna Goulding,Canada,Longueuil,Canada,57.969582080376,6,1,3.25
Robert Jones,China,Shanghai,China,57.95726826062713,8,2,15.2
Charles Hatcher,Malaysia,Ipoh,China,57.956929939314314,5,2,3.1999999999999997
Frank Vandyke,India,Visakhapatnam,India,57.935589648538084,4,3,3.1166666666666663
Anna Bally,South Korea,Jeonju,South Korea,57.93363048253927,8,1,6.3999999999999995
Harold Fortier,Spain,Malaga,Spain,57.92206536201361,8,2,13.0
Richard Robinson,United Arab Emirates,Ajman,Japan,57.916276582452106,6,1,3.666666666666667
John Carrel,Malaysia,Kota Kinabalu,Germany,57.89547324409001,5,2,2.6666666666666665
David Mccormick,United States,Philadelphia,United States,57.88957273935912,8,2,10.555555555555554
Betty Hutchison,Algeria,Tébessa,Canada,57.884350466705484,3,1,0.6
Barbara Grossman,Malaysia,Kuala Lumpur,Germany,57.868058695827884,5,2,4.133333333333333
James Ellsworth,Ukraine,Kherson,Russia,57.84686629454402,3,1,0.6
Betty Campbell,South Korea,Seongnam,India,57.83354126354284,4,3,4.155555555555557
Buck Wunderlich,Spain,Palma,Spain,57.83146005953126,7,3,3.7333333333333334
Cathy Francis,Indonesia,Tangerang,Indonesia,57.82944369711233,8,1,17.762962962962963
Norma Janusz,United Arab Emirates,Deira,Japan,57.82231459387978,7,3,4.333333333333334
Mary Edgell,Malaysia,Johor Bahru,Italy,57.820368119638644,4,3,4.622222222222223
Ida Roberts,Nigeria,Kaduna,Italy,57.78843120655434,7,3,4.266666666666666
Ida Wiltse,Poland,Szczecin,United States,57.78735432028933,7,3,4.444444444444444
Mandy Monson,Australia,Hobart,Australia,57.77550138116098,7,3,3.666666666666667
Della Polston,Saudi Arabia,Yanbu,India,57.768458141606295,6,1,1.7777777777777777
Lena Horton,Greece,Volos,India,57.763808114138676,3,1,0.6
Michael Bent,Netherlands,Breda,Netherlands,57.76334310206147,5,2,4.5
Sylvia Williams,Peru,Arequipa,South Korea,57.74776574347465,4,3,4.277777777777778
Anthony Hopper,Hong Kong,Tin Shui Wai,Hong Kong,57.72538727368058,3,1,0.5333333333333332
Jacqueline Lever,Turkey,Diyarbakir,Turkey,57.69489172429418,4,2,3.555555555555556
Denita Juarez,Switzerland,Basel,Italy,57.69342330209532,5,2,4.333333333333334
Joan Rubin,Slovakia,Bratislava,India,57.6777102329483,6,1,4.027777777777777
Glenn Lyon,South Korea,Cheongju,Spain,57.674381883313885,6,1,4.666666666666667
Emma Lee,Argentina,Salta,Austria,57.65619217169692,5,2,3.4
Christopher Yancy,Japan,Fukuoka,Japan,57.643659545026736,8,2,29.399999999999995
Ronald Allen,Spain,Elche,Spain,57.640692858603416,8,1,6.4
Donna Butler,Malaysia,Johor Bahru,India,57.63910852013552,5,2,3.8999999999999986
Christine Matthews,China,Guangzhou,Australia,57.634335297119954,8,2,19.8
Howard Burke,Russia,Rostov-on-Don,United States,57.63350439052374,5,2,2.5
Grace Mayweather,Mexico,Aguascalientes,Mexico,57.61214293153622,6,1,3.1499999999999995
Shane Lucero,China,Suzhou,Argentina,57.61148558759585,8,2,29.33333333333334
Jana White,Slovakia,Zilina,United States,57.61097248215544,3,1,1.3333333333333333
Kevin Sims,Finland,Kotka,Malaysia,57.61093939172088,3,1,0.888888888888889
Garret Waite,Israel,Beer Sheva,United States,57.60588500314287,6,1,4.666666666666666
Kathryn Wilson,Russia,Saratov,Russia,57.600772751495875,5,2,1.5
Emilia Jones,Bangladesh,Dhaka,Japan,57.595833315385086,8,2,23.400000000000002
Mike Ortiz,Russia,Volgograd,China,57.57842857020485,4,3,3.666666666666667
Rose Ku,Germany,Dresden,Germany,57.57327216915589,8,2,7.333333333333334
Arnold Fitzgerald,Denmark,Aalborg,United States,57.52450024817195,6,1,4.266666666666667
Colin Lain,Belgium,Sint-Niklaas,Belgium,57.51982324373765,5,2,3.3333333333333335
Albert Svenson,Russia,Novosibirsk,France,57.50624242315043,5,2,3.8888888888888884
Lois Veach,Chile,Valparaiso,Chile,57.50050075196846,6,3,2.133333333333333
Lisa Keeling,Russia,Voronezh,Japan,57.46201816962891,6,1,2.3
Donald Lee,United Kingdom,Plymouth,United Kingdom,57.46131522424609,6,1,2.3999999999999986
Roy Boyd,Norway,Kristiansand,United States,57.45753524580037,7,3,3.7777777777777772
Bonny Barnes,United Kingdom,Edinburgh,Italy,57.454592711619924,9,1,21.933333333333337
Marcia Jenkins,Vietnam,Ho Chi Minh City,India,57.41125670507355,8,2,16.75
Betty Miller,Bangladesh,Gazipur,Germany,57.407043616625266,6,1,4.0
Ellen Evenson,New Zealand,Invercargill,India,57.40666356516171,3,1,1.0
Wanda Murphy,Spain,Elche,Spain,57.39245496957326,4,3,3.1999999999999993
Kristi Fairbank,Thailand,Hat Yai,France,57.38319055124256,5,2,2.8
Linda Johnson,Netherlands,Utrecht,India,57.36717784880853,7,3,3.8888888888888893
Gladys Nguyen,Australia,Geelong,Australia,57.36480911818669,4,3,3.1999999999999997
Barbara Torrez,Italy,Florence,Italy,57.35196562188617,8,2,13.3
Stephanie Kane,Philippines,Davao,India,57.34215539374317,5,2,3.799999999999999
Michael Gourdine,Norway,Porsgrunn,Germany,57.336266568696686,3,1,0.5999999999999999
Frances Tefft,Canada,Brampton,Canada,57.32400691305935,5,2,3.3999999999999986
Linda Patterson,Qatar,Al Rayyan,Italy,57.30204167074602,6,1,2.5
Lucy Goetz,Philippines,Manila,Austria,57.29111390525968,4,3,4.503703703703703
Patricia Frilling,Turkey,Antalya,Germany,57.2677881363396,6,1,4.044444444444445
Rosalia Broadus,Indonesia,Tasikmalaya,Indonesia,57.261932615162756,7,2,3.5
Diana Anderson,Indonesia,Banjarmasin,Netherlands,57.25810043123559,7,3,2.25
Scott Welch,Russia,Omsk,Vietnam,57.25099328708395,9,1,8.333333333333334
Caroline Lloyd,United States,Columbus,United States,57.2503528595363,8,2,17.2
Elisabeth Rhodes,United Kingdom,Belfast,United Kingdom,57.248810816925186,8,2,5.166666666666668
Margaret Smith,Australia,Adelaide,Australia,57.2440797195211,9,1,27.5
Daniel Martinez,Kazakhstan,Pavlodar,China,57.23939702826579,3,1,1.3333333333333333
Francis Igtanloc,Saudi Arabia,Taif,Italy,57.21274438915077,4,3,3.4000000000000004
Valeria Adkerson,South Korea,Seoul,Brazil,57.16532080356598,8,2,20.62222222222222
Shawanna Mccune,Russia,Krasnodar,Russia,57.157233441413815,4,3,3.666666666666667
Genesis Aaron,United Arab Emirates,Ruwais,United Arab Emirates,57.137921478016345,3,1,0.35
Sarah Whitmer,Nigeria,Port Harcourt,Nigeria,57.11554098733471,4,3,3.166666666666666
Shirley Achenbach,Malaysia,Shah Alam,South Korea,57.109672057429535,5,2,2.9333333333333336
Antonio Rivera,Vietnam,Buon Ma Thuot,France,57.078720734652855,3,1,1.0
Victor Steege,Peru,Trujillo,Peru,57.06375014748207,4,2,3.3333333333333335
Gloria Copeland,Argentina,Salta,Japan,57.05046323194087,6,1,3.966666666666667
Maxine Rodriguez,Greece,Larissa,India,57.04417697652409,3,1,0.5
John Hawley,Mexico,Naucalpan,Malaysia,57.035803731635795,7,3,3.851851851851852
Emily Stevens,Poland,Radom,China,57.03140738786673,5,2,2.5666666666666673
Donald Bobadilla,Austria,Innsbruck,Austria,57.02174701509372,5,2,2.644444444444445
Araceli Hartwig,New Zealand,Christchurch,France,57.00992626148527,6,1,3.3
Patricia Meader,Germany,Essen,Germany,57.00636820895223,8,2,13.533333333333331
Cynthia Rosado,India,Nagpur,Oman,56.98437770408623,4,3,3.0
June Pyle,United States,Phoenix,Poland,56.973381493125196,8,2,22.8
Albert Deoliveira,Ecuador,Quito,United Kingdom,56.9651623524107,4,3,4.166666666666667
Jesusa Souter,Egypt,Giza,Italy,56.95529515758124,4,3,4.4444444444444455
James Rozier,Russia,Saratov,Russia,56.94524523385801,4,3,3.0
Muriel Tucker,Ireland,Mullingar,United Kingdom,56.9419776228797,3,1,1.2
Anna Bennett,Iraq,Fallujah,United Kingdom,56.91757979187957,3,1,0.40000000000000013
Daniel Provost,Saudi Arabia,Hafar Al-Batin,Germany,56.901174191313665,3,1,0.8333333333333333
Jill Thomas,India,Thane,India,56.89501333686682,8,2,10.0
